Support,time_map_reduce,time_eff_reduce
300, 2.296872138977051, 0.007800102233886719
200, 2.312222957611084, 0.0062541961669921875
100, 2.2979841232299805, 0.00604701042175293
50, 2.294100046157837, 0.006066799163818359
40, 2.303293228149414, 0.009687185287475586
30, 2.3762118816375732, 0.015172719955444336
25, 2.3768975734710693, 0.009579181671142578
20, 3.3112709522247314, 0.006541013717651367
15, 3.4017422199249268,  0.0070378780364990234
10, 5.437451124191284, 0.015520095825195312
5, 12.33750581741333,  1.523521900177002
3, 23.060194969177246, 33.89213800430298
2, 45.433589935302734, 222.1980538368225
1, 128.85502004623413, 

